2021-02-25 16:38:00,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:38:12,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:38:24,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:38:36,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:38:48,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:39:00,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:39:12,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:39:24,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:39:37,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:39:48,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:40:00,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:40:12,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:40:24,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:40:35,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:40:47,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:40:59,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:41:11,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:41:23,"84,000","85,400","83,000",005930,"33,768,223"
created_at,current_price,max_price,min_price,stock_num,trading_volume
2021-02-25 16:41:35,"84,000","85,400","83,000",005930,"33,768,223"
